描述,几室几厅,高低层,朝向,建筑年代,所属小区,所属片区,地址,最近地铁站,建筑面积,整套价格,平方价格
眼/镜户型3居 大阳台2层带电梯 别墅配套 游泳健身在小区里,3室2厅,低层(共6层),南向,2014,远洋傲北,北七家,北七家立汤路39号(麦卡伦地北),无,139,550,39568
长城国际 带电梯  朝小区花园 采光好,1室1厅,中层(共21层),无,2009,世纪星城,通州北苑,通朝大街323号(永顺镇杨庄南里 ),距八通线通州北苑站约985米,52,245,47453
玺萌丽苑 小户型 业主,1室1厅,中层(共24层),北向,2004,玺萌丽苑,马家堡,北甲地路6号院,距4号线马家堡站约877米,33,228,68100
天时名苑三室一厅一卫,3室1厅,低层(共29层),东南向,2000,天时名苑,通州北苑,通州北苑城铁旁杨庄北里,距八通线通州北苑站约426米,128,570,44671
通州北苑 万达商圈 双卧朝南两居室,2室1厅,中层(共27层),东南向,2009,天时名苑,通州北苑,通州北苑城铁旁杨庄北里,距八通线通州北苑站约426米,104,545,52253
天时名苑三室二厅二卫,3室2厅,中层(共20层),南北向,2009,天时名苑,通州北苑,通州北苑城铁旁杨庄北里,距八通线通州北苑站约426米,157,815,51782
新华联家园北区二室一厅二卫,2室1厅,中层(共12层),南北向,2004,新华联家园,果园,运河西大街30号(果园地铁站附近),距八通线果园站约493米,96,495,51541
天时名苑二室二厅一卫,2室2厅,中层(共27层),南北向,2009,天时名苑,通州北苑,通州北苑城铁旁杨庄北里,距八通线通州北苑站约426米,102,546,53409
东二环 2号线沿线 西南大三居 高使用面积800万起看房方便,3室1厅,中层(共16层),西南向,1999,美惠大厦,东四十条,东城区东中街58号,距2号线东四十条站约513米,163,800,49080
首师大院里 两个卧室朝南客厅朝南三居 带车位 ,3室1厅,中层(共18层),西南向,1996,西三环北路105号院,航天桥,西三环北路105号院,距6号线慈寿寺站约934米,92,1010,110022
林肯公园 两居室 南北通透 明厨明卫 低费用,2室1厅,低层(共24层),南北向,2009,林肯公园,亦庄,亦庄经济技术开发区文化园西路8号院(企业文化,距亦庄线亦庄文化园站约283米,94,510,54255
东阁雅舍三室一厅一卫,3室1厅,中层(共25层),东南向,2003,东阁雅舍,北关,永顺东里1号院,距6号线通州北关站约1054米,108,450,41578
